,user,review
0,196,0
1,137,0
2,357,1
3,103,1
4,59,1
5,178,1
6,393,1
7,423,1
8,164,2
9,8,2
10,250,2
11,453,2
12,22,2
13,183,2
14,322,2
15,232,3
16,447,4
17,28,4
18,184,4
19,403,4
20,331,5
21,196,5
22,304,5
23,1,5
24,194,5
25,296,5
26,296,6
27,59,6
28,149,6
29,36,6
30,257,6
31,402,6
32,209,6
33,105,6
34,123,6
35,93,7
36,26,7
37,413,7
38,94,7
39,265,7
40,228,7
41,85,7
42,248,8
43,389,8
44,189,10
45,77,10
46,200,10
47,370,10
48,93,10
49,340,10
50,324,10
51,83,10
52,323,11
53,168,11
54,200,11
55,301,11
56,103,11
57,258,11
58,175,11
59,342,12
60,238,12
61,385,13
62,384,13
63,137,14
64,141,14
65,301,14
66,219,14
67,31,14
68,200,14
69,207,14
70,173,14
71,69,15
72,352,15
73,18,15
74,384,16
75,184,16
76,387,16
77,311,16
78,83,16
79,317,16
80,72,17
81,370,17
82,191,17
83,400,17
84,141,17
85,372,17
86,417,17
87,214,17
88,250,18
89,203,19
90,247,19
91,130,19
92,385,19
93,32,19
94,125,21
95,194,21
96,59,21
97,50,21
98,401,21
99,287,21
100,195,21
101,264,21
102,183,21
103,447,22
104,317,22
105,173,22
106,304,22
107,330,22
108,200,22
109,387,22
110,31,22
111,86,22
112,74,22
113,304,24
114,404,24
115,36,25
116,364,25
117,117,25
118,302,25
119,447,25
120,362,25
121,347,25
122,452,25
123,18,25
124,38,25
125,427,26
126,58,26
127,22,26
128,331,26
129,168,26
130,389,26
131,210,26
132,386,26
133,185,29
134,100,29
135,78,29
136,25,29
137,320,29
138,162,29
139,149,31
140,425,31
141,73,31
142,194,31
143,399,31
144,43,32
145,232,32
146,18,32
147,136,32
148,9,32
149,50,32
150,302,32
151,129,32
152,63,33
153,316,33
154,164,33
155,312,33
156,246,33
157,401,33
158,402,33
159,31,33
160,361,33
161,103,34
162,333,34
163,219,34
164,250,34
165,286,34
166,43,34
167,113,34
168,176,35
169,454,35
170,304,35
171,142,35
172,256,35
173,337,35
174,299,35
175,233,35
176,204,35
177,325,36
178,29,36
179,269,36
180,173,36
181,446,36
182,248,36
183,58,36
184,337,36
185,22,36
186,185,36
187,220,37
188,85,37
189,256,37
190,169,37
191,449,38
192,319,38
193,80,38
194,413,38
195,76,38
196,122,39
197,171,40
198,255,40
199,171,41
200,31,41
201,116,41
202,1,41
203,100,42
204,114,43
205,142,43
206,200,43
207,278,43
208,226,43
209,340,43
210,413,44
211,332,44
212,142,44
213,384,44
214,85,44
215,83,44
216,210,45
217,332,45
218,116,45
219,324,46
220,167,46
221,375,46
222,250,46
223,386,46
224,402,46
225,276,46
226,220,46
227,232,46
228,233,46
229,364,47
230,72,47
231,122,47
232,300,47
233,29,47
234,285,47
235,297,47
236,61,48
237,156,48
238,299,48
239,149,48
240,72,48
241,154,48
242,228,48
243,243,48
244,384,49
245,190,49
246,325,49
247,278,49
248,333,49
249,210,49
250,324,49
251,50,49
252,228,49
253,114,49
254,393,50
255,413,50
256,168,50
257,372,50
258,418,50
259,75,50
260,439,51
261,304,51
262,210,51
263,164,51
264,237,52
265,425,53
266,130,53
267,304,53
268,199,53
269,78,53
270,284,53
271,447,53
272,125,53
273,271,53
274,187,54
275,276,54
276,418,55
277,247,55
278,320,55
279,370,55
280,375,55
281,11,55
282,297,55
283,284,55
284,205,56
285,379,56
286,203,56
287,316,56
288,240,56
289,425,56
290,229,56
291,183,57
292,190,58
293,223,58
294,164,58
295,226,58
296,228,58
297,394,58
298,240,59
299,78,59
300,21,59
301,257,59
302,130,59
303,360,60
304,400,61
305,43,61
306,212,61
307,276,61
308,324,61
309,233,61
310,70,61
311,130,61
312,449,63
313,204,63
314,100,63
315,269,63
316,232,63
317,271,63
318,395,63
319,137,63
320,177,63
321,278,64
322,58,64
323,379,64
324,66,65
325,347,65
326,114,66
327,279,67
328,28,67
329,418,67
330,135,67
331,413,67
332,63,67
333,311,67
334,180,67
335,90,67
336,301,67
337,296,68
338,46,68
339,247,68
340,112,68
341,356,68
342,53,68
343,113,68
344,10,71
345,58,71
346,46,71
347,233,71
348,212,71
349,137,71
350,230,71
351,247,71
352,394,71
353,232,72
354,6,72
355,83,72
356,440,72
357,77,73
358,452,73
359,389,73
360,312,73
361,399,73
362,15,73
363,248,73
364,344,73
365,240,73
366,413,74
367,25,74
368,180,74
369,403,74
370,324,74
371,332,74
372,6,74
373,34,74
374,423,74
375,286,75
376,352,75
377,330,75
378,401,75
379,347,75
380,204,75
381,53,75
382,136,75
383,72,76
384,11,76
385,312,76
386,169,76
387,296,76
388,256,76
389,131,76
390,285,79
391,8,79
392,106,79
393,42,79
394,209,79
395,75,79
396,180,79
397,378,80
398,176,80
399,453,80
400,155,80
401,125,80
402,274,80
403,15,81
404,229,81
405,323,81
406,4,81
407,189,81
408,385,81
409,1,81
410,105,81
411,38,82
412,423,82
413,271,82
414,361,82
415,299,82
416,279,82
417,223,83
418,69,83
419,164,83
420,83,83
421,361,83
422,189,83
423,440,83
424,276,83
425,126,84
426,74,84
427,219,84
428,167,84
429,423,84
430,384,85
431,396,86
432,66,86
433,50,86
434,143,86
435,196,86
436,94,86
437,246,87
438,232,87
439,274,88
440,40,88
441,205,88
442,338,88
443,364,88
444,207,88
445,375,88
446,8,88
447,131,88
448,123,90
449,311,90
450,452,90
451,215,90
452,352,90
453,413,90
454,9,90
455,156,90
456,76,90
457,154,92
458,130,93
459,112,93
460,22,93
461,190,93
462,274,93
463,347,93
464,364,93
465,164,93
466,333,93
467,232,93
468,416,94
469,301,94
470,42,94
471,402,94
472,164,94
473,393,94
474,332,94
475,372,95
476,54,95
477,15,95
478,226,95
479,61,96
480,444,96
481,209,96
482,187,96
483,283,97
484,135,97
485,384,98
486,265,98
487,164,98
488,66,98
489,173,98
490,149,100
491,78,100
492,6,100
493,171,100
494,269,100
495,175,100
496,395,101
497,255,101
498,114,101
499,204,101
500,375,101
501,238,101
502,31,101
503,125,101
504,302,102
505,212,102
506,439,102
507,180,102
508,444,102
509,154,102
510,389,102
511,90,102
512,4,102
513,15,103
514,125,103
515,190,103
516,141,103
517,164,104
518,410,104
519,402,104
520,175,104
521,2,104
522,226,104
523,319,104
524,85,104
525,175,105
526,269,105
527,89,105
528,26,105
529,362,105
530,180,106
531,264,106
532,167,106
533,9,106
534,362,107
535,190,107
536,232,107
537,396,108
538,401,108
539,69,108
540,317,109
541,203,109
542,247,110
543,197,110
544,400,110
545,384,110
546,322,110
547,226,110
548,340,110
549,372,110
550,255,111
551,190,111
552,417,111
553,29,112
554,263,112
555,143,112
556,333,112
557,210,113
558,116,114
559,85,114
560,240,114
561,452,114
562,106,114
563,126,115
564,440,115
565,229,116
566,303,116
567,94,116
568,247,116
569,304,118
570,340,119
571,298,119
572,195,119
573,24,119
574,207,119
575,173,119
576,124,119
577,271,119
578,204,120
579,439,120
580,215,120
581,239,120
582,222,120
583,403,120
584,242,120
585,31,121
586,59,121
587,143,121
588,361,121
589,247,121
590,444,121
591,175,121
592,101,121
593,6,122
594,342,122
595,34,122
596,232,122
597,229,122
598,130,122
599,175,122
600,100,122
601,123,122
602,206,122
603,298,123
604,233,123
605,78,123
606,333,123
607,362,123
608,28,123
609,149,123
610,210,124
611,80,125
612,447,125
613,388,125
614,340,125
615,184,125
616,112,125
617,245,125
618,283,125
619,9,126
620,300,127
621,298,127
622,425,127
623,264,127
624,74,127
625,191,127
626,238,127
627,15,127
628,427,127
629,110,129
630,45,129
631,180,129
632,344,129
633,214,130
634,73,130
635,238,130
636,283,130
637,179,131
638,229,131
639,351,131
640,74,131
641,2,131
642,375,131
643,110,131
644,209,131
645,178,132
646,31,132
647,142,132
648,8,132
649,40,132
650,247,132
651,360,132
652,342,132
653,413,132
654,191,133
655,29,133
656,1,133
657,189,133
658,439,133
659,278,134
660,255,134
661,122,134
662,319,134
663,76,134
664,279,134
665,304,134
666,74,134
667,58,134
668,287,134
669,400,135
670,222,135
671,226,135
672,200,135
673,100,135
674,246,136
675,298,136
676,297,136
677,155,137
678,54,137
679,256,137
680,427,138
681,114,138
682,40,138
683,93,138
684,80,138
685,279,138
686,274,138
687,174,138
688,402,138
689,242,139
690,207,139
691,299,139
692,226,139
693,215,139
694,386,139
695,247,139
696,113,139
697,375,139
698,135,139
699,312,140
700,194,140
701,415,140
702,352,140
703,11,140
704,356,140
705,347,141
706,361,141
707,174,143
708,214,143
709,56,143
710,393,143
711,286,143
712,338,143
713,149,143
714,325,143
715,28,143
716,333,143
717,264,144
718,21,144
719,100,144
720,271,144
721,54,144
722,184,144
723,136,144
724,50,144
725,187,144
726,379,144
727,28,145
728,429,145
729,183,145
730,103,145
731,263,145
732,220,145
733,164,145
734,212,145
735,129,146
736,178,146
737,53,146
738,105,146
739,320,146
740,233,147
741,299,147
742,378,147
743,258,147
744,105,147
745,271,147
746,243,147
747,425,147
748,304,147
749,204,147
750,62,148
751,388,148
752,164,148
753,76,148
754,352,148
755,90,148
756,6,148
757,10,149
758,168,149
759,311,150
760,74,150
761,56,150
762,40,152
763,200,152
764,388,152
765,237,152
766,173,152
767,439,153
768,205,153
769,24,153
770,115,153
771,399,153
772,402,153
773,162,154
774,384,154
775,108,154
776,285,154
